Age_Group,Travel_Frequency,Type_of_Public_Place,Time_of_Visit,Crowd_Level,Mode_of_Transport,Safe_Visiting_Alone,Avoid_Going_Out_At_Night,Experienced_Harassment,Lighting_Condition,CCTV_Available,Security_in_Public_Place
25-35,Daily,Restaurant/Cafe,Morning,1000-10k,Cab,No,No,Yes,Average,Yes,Yes
25-35,Weekly,Public Bus/Train,Afternoon,<1000,Cab,No,Yes,No,Average,Yes,No
15-25,Daily,Market/Bazaar,Evening,1000-10000,Auto,Yes,Yes,No,Good,Yes,Yes
35-45,Monthly,Park/Garden,Afternoon,1000-10000,Train,Yes,Yes,No,Good,No,Yes
15-25,Daily,ATM/Bank Area,Evening,<1000,Train,No,No,Yes,Poor,Yes,Yes
15-25,Weekly,Hospital/Clinic,Night,1000-10000,Bus,Yes,Yes,No,Average,No,No
15-25,Daily,Market/Bazaar,Night,<1000,,No,Yes,Yes,Average,No,No
25-35,Weekly,Tourist Spot/Monument,Evening,1000-10000,Train,Yes,Yes,No,Good,No,Yes
25-35,Daily,ATM/Bank Area,Evening,<1000,Train,No,Yes,No,avg,Yes,Yes
25-35,Daily,Market/Bazaar,Morning,1000-10000,Cab,Yes,Yes,Yes,Good,No,Yes
25-35,Daily,Metro Station,Night,1000-10000,Walk,Yes,Yes,No,Average,Yes,No
15-25,Daily,Public Bus/Train,Morning,1000-10000,Cab,Yes,No,No,Poor,Yes,No
15-25,Weekly,Gym/Fitness Center,Evening,<1000,Cab,No,Yes,No,Good,Yes,No
25-35,Daily,Metro Station,Morning,1000-10000,Auto,Yes,Yes,No,Poor,No,No
15-25,Daily,Public Bus/Train,Morning,1000-10000,Bus,No,No,Yes,Poor,Yes,No
25-35,Monthly,Street Food Area,Evening,<1000,Train,Yes,Yes,No,Poor,Yes,Yes
15-25,Weekly,Railway Station,Morning,<1000,Bus,Yes,No,No,Average,Yes,Yes
15-25,Weekly,College/University Campus,Morning,1000-10000,Walk,No,Yes,No,Good,Yes,No
15-25,Daily,School Area,Night,>10000,Train,Yes,Yes,No,Average,No,No
35-45,Daily,Bus Stop,Afternoon,>10000,Walk,No,Yes,No,Good,Yes,No
25-35,Daily,Temple/Religious Place,Evening,<1000,Train,No,No,Yes,avg,No,No
35-45,Weekly,School Area,Evening,<1000,Bus,Yes,Yes,No,Good,Yes,Yes
15-25,Monthly,Parking Area,Evening,>10000,Bus,No,No,No,Good,Yes,No
25-35,Monthly,Restaurant/Cafe,Morning,1000-10000,,No,No,Yes,Good,Yes,Yes
15-25,Daily,Shopping Mall,Night,<1000,Walk,No,No,No,Average,Yes,No
15-25,Weekly,School Area,Evening,1000-10000,Bike,No,Yes,No,Poor,Yes,No
35-45,Weekly,Metro Station,Afternoon,<1000,Walk,No,Yes,No,Poor,No,No
15-25,Daily,Street Food Area,Night,1000-10000,Bus,No,Yes,No,Poor,Yes,No
15-25,Daily,Gym/Fitness Center,Evening,>10000,Walk,Yes,Yes,No,Average,Yes,No
15-25,Daily,Public Bus/Train,Night,1000-10000,Cab,Yes,No,No,Good,Yes,Yes
25-35,Monthly,Temple/Religious Place,Morning,>10000,Walk,No,Yes,Yes,Good,Yes,No
35-45,Monthly,Parking Area,Evening,>10000,Auto,No,Yes,No,Good,Yes,Yes
15-25,Weekly,Restaurant/Cafe,Afternoon,1000-10000,Bus,Yes,Yes,No,Poor,Yes,No
15-25,Daily,Metro Station,Evening,1000-10000,Bike,No,Yes,No,Average,Yes,No
25-35,Weekly,Tourist Spot/Monument,Evening,>10000,Auto,Yes,Yes,Yes,Average,No,Yes
25-35,Daily,Hospital/Clinic,Evening,1000-10000,Cab,No,Yes,No,Poor,Yes,Yes
25-35,Monthly,Restaurant/Cafe,Evening,1000-10000,Walk,No,No,No,Average,No,No
15-25,Daily,Bus Stop,Afternoon,<1000,Bus,Yes,Yes,No,Average,No,No
15-25,Monthly,Residential Colony Road,Evening,>10000,Auto,No,Yes,No,Good,Yes,No
25-35,Weekly,Market/Bazaar,Afternoon,1000-10000,Train,Yes,No,Yes,Average,Yes,No
15-25,Daily,Office/Workplace Area,Night,<1000,Bike,No,Yes,No,Average,Yes,Yes
25-35,Weekly,Street Food Area,Afternoon,1000-10k,Train,Yes,Yes,No,Average,No,No
15-25,Weekly,Gym/Fitness Center,Evening,<1000,Auto,No,Yes,No,Poor,Yes,No
15-25,Daily,Tourist Spot/Monument,Afternoon,1000-10000,Train,Yes,Yes,No,Average,No,No
15-25,Weekly,Office/Workplace Area,Evening,>10000,Bus,Yes,Yes,Yes,Good,Yes,Yes
25-35,Weekly,Park/Garden,Night,1000-10000,Auto,Yes,Yes,No,Average,No,Yes
25-35,Daily,Residential Colony Road,Night,<1000,Bus,Yes,No,No,Good,Yes,No
35-45,Daily,Parking Area,Morning,1000-10k,Cab,No,Yes,Yes,Average,Yes,Yes
15-25,Daily,Public Bus/Train,Afternoon,<1000,Auto,Yes,Yes,Yes,Good,No,No
15-25,Daily,Bus Stop,Morning,<1000,Train,No,No,No,Average,Yes,Yes
15-25,Weekly,Temple/Religious Place,Evening,1000-10000,Cab,Yes,No,No,Average,No,No
25-35,Weekly,ATM/Bank Area,Afternoon,<1000,Bike,Yes,No,No,Average,Yes,Yes
15-25,Weekly,Hospital/Clinic,Evening,1000-10000,Auto,Yes,Yes,Yes,avg,No,No
15-25,Weekly,Parking Area,Evening,1000-10000,Cab,Yes,Yes,No,Average,No,Yes
15-25,Weekly,Tourist Spot/Monument,Afternoon,<1000,Cab,Yes,Yes,No,Average,No,No
15-25,Weekly,Hospital/Clinic,Morning,1000-10000,Walk,No,No,Yes,Good,Yes,No
15-25,Weekly,Street Food Area,Afternoon,<1000,Bike,No,Yes,No,Average,No,No
25-35,Daily,College/University Campus,Evening,1000-10000,Auto,Yes,No,No,Good,Yes,Yes
25-35,Daily,Office/Workplace Area,Night,<1000,Bus,Yes,No,Yes,Average,No,Yes
25-35,Monthly,Hospital/Clinic,Night,1000-10000,Auto,No,Yes,Yes,Average,No,No
25-35,Monthly,Library/Study Center,Morning,<1000,Cab,Yes,No,Yes,Average,Yes,No
15-25,Monthly,Parking Area,Evening,1000-10000,Bike,Yes,Yes,Yes,Average,Yes,No
15-25,Daily,Residential Colony Road,Afternoon,>10000,Walk,Yes,No,Yes,Average,Yes,Yes
15-25,Yearly,Street Food Area,Afternoon,<1000,Walk,No,No,No,Good,No,No
15-25,Daily,Restaurant/Cafe,Evening,1000-10000,Walk,No,Yes,Yes,avg,Yes,No
35-45,Daily,Temple/Religious Place,Morning,<1000,Bike,No,Yes,No,Average,Yes,No
25-35,Monthly,Library/Study Center,Night,1000-10k,Bus,No,No,No,Good,No,Yes
15-25,Weekly,Street Food Area,Afternoon,1000-10000,Walk,No,Yes,Yes,Poor,No,No
25-35,Monthly,Cinema Hall/Multiplex,Evening,<1000,Cab,No,Yes,No,Poor,No,Yes
35-45,Daily,Bus Stop,Night,1000-10000,Auto,No,No,Yes,Average,Yes,No
15-25,Monthly,ATM/Bank Area,Afternoon,1000-10000,Bus,No,No,No,Poor,Yes,No
35-45,Monthly,Metro Station,Morning,1000-10000,Bus,No,No,Yes,Good,No,No
15-25,Monthly,Park/Garden,Evening,<1000,Cab,Yes,No,No,Poor,Yes,Yes
15-25,Daily,Residential Colony Road,Morning,1000-10000,Bike,Yes,No,No,Average,Yes,No
25-35,Weekly,Library/Study Center,Morning,<1000,Bike,Yes,Yes,No,Average,No,Yes
15-25,Monthly,Park/Garden,Night,1000-10000,Bike,No,Yes,No,Poor,Yes,No
25-35,Daily,Bus Stop,Evening,1000-10000,Cab,No,Yes,Yes,Good,No,No
15-25,Daily,Street Food Area,Night,1000-10000,Walk,Yes,Yes,Yes,Poor,Yes,Yes
15-25,Daily,Restaurant/Cafe,Evening,>10000,Bike,No,No,No,Average,Yes,No
